gmdn,emdn,deviceproblem,patientproblem
10403,C04020201,A04,E20
10403,C04020201,A04,F26
10688,C0104020299,A04,E24
10688,C0104020299,A04,F26
10688,C0104020299,A05,E24
10691,H900102,A02,F27
10691,H900102,A04,E24
10691,H900102,A04,F26
10691,H900102,A04,F27
10691,H900102,A05,E24
10691,H900102,A05,F26
10691,H900102,A09,F26
10691,H900102,A15,E24
10691,H900102,A15,F26
10735,M03030203,A04,F26
10749,H90020103,A14,E24
10847,M050101,A09,F26
10847,M050101,A24,E03
11179,L26,A04,E24
11179,L26,A05,E24
11179,L26,A07,E24
11226,B0399,A05,E24
11226,B0399,A10,E24
11226,B0399,A10,F27
11226,B0399,A14,E03
11226,B0399,A14,E10
11226,B0399,A14,E13
11226,B0399,A14,E23
11226,B0399,A24,E01
11226,B0399,A24,E03
11226,B0399,A24,E06
11226,B0399,A24,E07
11226,B0399,A24,E10
11226,B0399,A24,E12
11226,B0399,A24,E13
11226,B0399,A24,E19
11226,B0399,A24,E23
11226,B0399,A24,E24
11226,B0399,A24,F02
11332,L26,A04,E20
11332,L26,A04,E24
11490,M03030203,A04,E24
11490,M03030203,A05,E24
11490,M03030203,A07,E24
11490,M03030203,A07,F26
11490,M03030203,A09,E24
11490,M03030203,A09,F26
11490,M03030203,A09,F27
11490,M03030203,A10,E24
11490,M03030203,A12,E24
11490,M03030203,A13,E24
11490,M03030203,A14,E24
11490,M03030203,A15,E24
11490,M03030203,A15,F26
11490,M03030203,A15,F27
11490,M03030203,A24,E05
11490,M03030203,A24,E17
11490,M03030203,A24,E24
12050,B0399,A04,E24
12143,A019003,A04,E24
12143,A019003,A04,F26
12155,C010103,A05,E24
12155,C010103,A05,F26
12170,V0905,A04,E24
12170,V0905,A04,F26
12170,V0905,A05,E24
12170,V0905,A05,F26
12170,V0905,A14,E24
12170,V0905,A14,F26
12291,L26,A04,E24
12291,L26,A05,E24
12291,L26,A06,E24
12291,L26,A09,E24
12696,B0399,A02,F26
12696,B0399,A04,E20
12696,B0399,A04,E24
12696,B0399,A04,F26
12696,B0399,A04,F27
12696,B0399,A05,E24
12696,B0399,A05,F26
12696,B0399,A15,E24
12696,B0399,A15,F26
12696,B0399,A17,E24
12696,B0399,A17,F26
12696,B0399,A18,E24
12696,B0399,A18,F26
12844,Y0999,A04,E24
12844,Y0999,A04,F26
13180,B0399,A02,E24
13180,B0399,A02,F26
13180,B0399,A04,E20
13180,B0399,A04,E24
13180,B0399,A04,F26
13180,B0399,A04,F27
13180,B0399,A05,E24
13180,B0399,A05,F26
13180,B0399,A06,E24
13180,B0399,A12,E24
13180,B0399,A12,F26
13180,B0399,A17,E24
13180,B0399,A17,F26
13180,B0399,A18,E24
13180,B0399,A18,F27
13180,B0399,A24,E16
13180,B0399,A24,E19
13180,B0399,A27,E19
13180,B0399,A27,E20
13180,B0399,A27,E24
13180,B0399,A27,F26
13209,C04020201,A09,F27
13209,C04020201,A14,E24
13209,C04020201,A14,F26
13209,C04020201,A14,F27
13209,C04020201,A16,F27
13209,C04020201,A19,F27
13215,L26,A02,E24
13215,L26,A02,F27
13215,L26,A04,E23
13215,L26,A04,E24
13215,L26,A04,F26
13215,L26,A04,F27
13215,L26,A05,E24
13215,L26,A05,F26
13215,L26,A05,F27
13215,L26,A07,E23
13215,L26,A07,E24
13215,L26,A07,F26
13215,L26,A07,F27
13215,L26,A08,E24
13215,L26,A08,F27
13215,L26,A09,E24
13215,L26,A09,F26
13215,L26,A09,F27
13215,L26,A10,E24
13215,L26,A10,F27
13215,L26,A11,E24
13215,L26,A11,F26
13215,L26,A11,F27
13215,L26,A12,E24
13215,L26,A12,F27
13215,L26,A13,E24
13215,L26,A13,F26
13215,L26,A13,F27
13215,L26,A14,E01
13215,L26,A14,E06
13215,L26,A14,E07
13215,L26,A14,E10
13215,L26,A14,E12
13215,L26,A14,E23
13215,L26,A14,E24
13215,L26,A14,F10
13215,L26,A14,F26
13215,L26,A14,F27
13215,L26,A15,E24
13215,L26,A15,F27
13215,L26,A16,E23
13215,L26,A16,E24
13215,L26,A16,F26
13215,L26,A16,F27
13215,L26,A18,E24
13215,L26,A18,F27
13215,L26,A21,E24
13215,L26,A22,F26
13215,L26,A22,F27
13215,L26,A23,E24
13215,L26,A23,F26
13215,L26,A23,F27
13215,L26,A24,E23
13215,L26,A24,E24
