GMDN,EMDN,score
10003,C04020299,0.7781521677970886
10024,H900303,0.8167445361614227
10025,A019013,0.5396645069122314
10035,L26,0.7343623042106628
10082,H010202020302,0.7021323442459106
10089,B0399,0.8405761420726776
10098,A010601,0.7408036589622498
10153,C04020201,0.7701259255409241
10156,A019013,0.9284167587757112
10171,H90020103,0.692383885383606
10184,K0107,0.9280393719673156
10201,H900303,0.7553011178970337
10217,H900303,0.8319199681282043
10219,M03030203,0.715164065361023
10226,B0399,0.6825545281171799
10234,C04020201,0.7354442477226257
10243,H010202020302,0.7371847033500671
10284,C010103,0.948218435049057
10289,A01020301,0.6867497265338898
10297,H900303,0.9235229194164276
10298,L0102,0.7297196686267853
10335,M050101,0.6742217242717743
10340,A019013,0.7531948685646057
10348,Z12130502,0.7447529137134552
10383,M03030203,0.7455104887485504
10385,H900303,0.7073307633399963
10386,A019013,0.7111968696117401
10396,H900303,0.8021927177906036
10403,C04020201,0.8788627982139587
10405,A019013,0.9017642438411712
10406,C04020201,0.7877805829048157
10415,L01040502,0.8536282777786255
10416,L26,0.8572418689727783
10417,H010202020302,0.8966345191001892
10431,H900102,0.6558257192373276
10455,A019013,0.7725793719291687
10458,U0299,0.7329534888267517
10481,B0399,0.8044698238372803
10483,C04020299,0.7867261469364166
10484,C04020201,0.80418461561203
10516,M050201,0.4931619465351105
10520,M050101,0.9315554797649384
10522,M050101,0.8378727734088898
10535,A010601,0.7218680381774902
10551,H900303,0.8216440975666046
10574,H010202020302,0.7939661741256714
10575,A019013,0.8077673017978668
10615,H900303,0.8321806490421295
10667,M050102,0.7541672587394714
10668,L26,0.8132863342761993
10669,B0399,0.8953401148319244
10672,L0206,0.638313889503479
10676,H900303,0.8032528162002563
10678,A019013,0.9245797097682952
10688,C0104020299,0.9365311861038208
10689,L0102,0.8288521766662598
10691,H900102,0.6850209832191467
10695,L26,0.7408303916454315
10696,M03030203,0.7218443751335144
10718,B030299,0.8670470714569092
10729,B030299,0.9711648523807526
10730,L26,0.8326962292194366
10735,M03030203,0.6452317535877228
10737,K0107,0.893469512462616
10741,B0399,0.9377779364585876
10747,M050101,0.6397442817687988
10749,H90020103,0.841228723526001
10759,L26,0.7313734889030457
10789,M03030203,0.7708862125873566
10790,H900303,0.9192776679992676
